Algorithm,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9001412144442204,0.8866582360689925,0.9001412144442204,0.8852327757998861
Logistic Regression,0.8961065160379261,0.8856016704629507,0.8961065160379261,0.8805019180406525
Extra Trees,0.8940891668347791,0.8792516295712445,0.8940891668347791,0.8795963032281147
Linear SVM,0.8916683477910026,0.8798222443402284,0.8916683477910026,0.8816122002229317
Gradient Boosting,0.8777486382892878,0.8656578625304673,0.8777486382892878,0.8642995573692975
Decision Tree,0.8725035303611055,0.8674515768659631,0.8725035303611055,0.8697803668182299
Naive Bayes,0.8406294129513819,0.8554576341883767,0.8406294129513819,0.8003843670222982
AdaBoost,0.8180351018761347,0.7894361509573233,0.8180351018761347,0.7815365962348404
KNN,0.6231591688521283,0.7163817281432205,0.6231591688521283,0.6471422003059584
