Algorithm,Accuracy,Precision,Recall,F1 Score
AdaBoost,0.7922077922077922,0.72,0.6666666666666666,0.6923076923076923
Random Forest,0.7597402597402597,0.6808510638297872,0.5925925925925926,0.6336633663366337
Gradient Boosting,0.7532467532467533,0.6666666666666666,0.5925925925925926,0.6274509803921569
Extra Trees,0.7467532467532467,0.6530612244897959,0.5925925925925926,0.6213592233009708
Decision Tree,0.7272727272727273,0.6428571428571429,0.5,0.5625
SVM,0.7207792207792207,0.6571428571428571,0.42592592592592593,0.5168539325842697
Logistic Regression,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56
Naive Bayes,0.7077922077922078,0.5737704918032787,0.6481481481481481,0.6086956521739131
KNN,0.6688311688311688,0.5306122448979592,0.48148148148148145,0.5048543689320388
